Country,State,Year,Food Grains Allocated (UOM:MT(Metrictonne)),Ration Cards Issued (UOM:Number),Transaction For Ration Cards (UOM:Number),Aadhaar Authenticated Transactions (UOM:Number),Aadhaar Authenticated Transactions (%) (UOM:%(Percentage)),Epos (Electronic Point Of Sale System) Distribution Of Food Grains (UOM:MT(Metrictonne)),Manual Distribution Of Food Grains (UOM:MT(Metrictonne)),Distribution Of Food Grains (UOM:MT(Metrictonne))
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",115338,5120243,5791702,245601,4.24,113143.42,1462.2,114605.62
India,Goa,"Calendar Year (Jan - Dec), 2020",2856.63,142726,137129,133625,97.44,2833.28,0,2833.28
India,Gujarat,"Calendar Year (Jan - Dec), 2021",198288.02,7234358,244,244,100,6.96,0,6.96
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",4677.46,175003,40,0,0,2.09,4630.32,4632.4
India,Gujarat,"Calendar Year (Jan - Dec), 2018",198288.02,7102280,5807611,3876700,66.75,162048.38,0,162048.38
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",126.85,5153,821,0,0,12.84,0,12.84
India,Tripura,"Calendar Year (Jan - Dec), 2020",13761.1,578630,711645,703830,98.9,13285.57,0,13285.57
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",126.85,5155,1562,0,0,41.38,0,41.38
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2021",451.98,51708,44958,44958,100,1158.87,0,1158.87
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",232631,9894130,8032825,8031037,99.98,190965.49,0,190965.49
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",297039.11,11639786,8850460,1708887,19.31,220981.13,0,220981.13
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",33454.8,1359876,661677,92079,13.92,16006.58,15388.49,31395.07
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2017",1380.93,57496,45533,37079,82.5936654,388.44,0,388.44
